"","Anio","Mes","GasolinaSuper","GasolinaRegular","TotalGasolinas","Diesel","DieselLS","DieselULS","TotalDiesel","GLP","GasolinaAviacion","Kerosina","TurboJet","Bunker","Asfalto","PetCoke","AceitesLubricantes","GrasasLubricantes","Solventes","Naftas","Ceras","Butano","PetroleoReconstit","MTBE","Orimulsion","MezclasOleosas","PetroleoCrudo","TotalMensual"
"541",2010,4,562996.07,433108.23,996104.3,613011.21,NA,NA,613011.21,410001.1,NA,42911.9,NA,593178.8,12568.7,165852.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2833628.23
"551",2010,5,429729.38,279926.95,709656.33,1086036.16,NA,NA,1086036.16,230584.6,3139,59512.7,NA,349801.7,6994.1,164467.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2610192.35
"561",2010,6,464310.8,281834.46,746145.26,587828.26,NA,NA,587828.26,344683.1,NA,58930.1,NA,117297.2,2940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1857823.92
"571",2010,7,456588.39,241994.24,698582.63,712889.93,NA,NA,712889.93,461977.95,3178,40989.8,NA,411546.82,4133,145426.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2478724.4
"581",2010,8,475714.12,282509.24,758223.36,637252.29,NA,NA,637252.29,236164.31,NA,65212,NA,212442.7,2082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911376.66
"591",2010,9,321134.56,208796.02,529930.58,741721.42,NA,NA,741721.42,144381.79,NA,15663.5,NA,135187,4161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1571045.29
"601",2010,10,493794.29,392100.62,885894.91,630692.56,NA,NA,630692.56,328472.6,3161,43634.6,NA,301559.2,5352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2198766.87
"611",2010,11,241062.76,139547.73,380610.49,565627.54,NA,NA,565627.54,540671.88,NA,56430,NA,331749.27,7402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1882491.18
"621",2010,12,652210.77,430857.95,1083068.72,1135293.92,NA,NA,1135293.92,286501.74,2308,44591.6,NA,162229.5,4246.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2718239.98
"312",2011,1,391997.54,253700.82,645698.36,1033948.69,NA,NA,1033948.69,511518.14,NA,69631.1,NA,263229.32,5497.36,166651.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2696174.73
"412",2011,2,437769.48,343582.85,781352.33,772775.58,NA,NA,772775.58,313877.17,2351,43055.9,NA,423634.9,7033,164990.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2509070.2
"512",2011,3,445920.27,291087.16,737007.43,707536.31,NA,NA,707536.31,297190.31,NA,33888.8,NA,138202.1,10007.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1923832.85
"64",2011,4,357349.67,326003.71,683353.38,767445.36,NA,NA,767445.36,426380.21,NA,46347,NA,652855.72,5721.79,209682.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2791786.01
"72",2011,5,433038.13,326566.61,759604.74,918940.44,NA,NA,918940.44,238374.12,2150,51018.2,NA,423250.92,4086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2397424.42
